,mse_score,trial_id,return_period,seq_len,lr,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
507,0.03372040152256742,011e8_00507,2,2,0.001,0.37272747584893196,1,8,128,3,1
96,0.03372603135365983,011e8_00096,2,2,0.001,0.3808585382168781,1,1,32,3,1
481,0.03373607777923506,011e8_00481,2,2,0.1,0.742998901848324,1,8,8,2,2
1962,0.03373723813139945,011e8_01962,3,2,0.01,0.4952808905185374,2,4,128,2,1
417,0.033760489431955,011e8_00417,2,2,0.001,0.6007481317425937,1,8,128,1,1
306,0.03376142545929564,011e8_00306,2,2,0.1,0.7754624197553731,1,4,32,1,1
2154,0.0337685455005602,011e8_02154,3,2,0.1,0.8116606540656437,2,8,64,3,1
360,0.033779752033033586,011e8_00360,2,2,0.001,0.7115190662081935,1,4,8,3,1
441,0.033794685142698906,011e8_00441,2,2,0.1,0.4930011745684384,1,8,32,1,1
4,0.03379766488085718,011e8_00004,2,2,0.001,0.8558399765204862,1,1,16,1,2
348,0.03380112289052388,011e8_00348,2,2,0.1,0.5166195204298042,1,4,16,2,1
364,0.03381344253673614,011e8_00364,2,2,0.001,0.38107365441778207,1,4,16,3,2
344,0.03381415220795799,011e8_00344,2,2,0.01,0.6276221323860321,1,4,128,2,3
1826,0.033818840989715215,011e8_01826,3,2,0.01,0.4296503919536184,2,2,64,2,3
251,0.033827909536400594,011e8_00251,2,2,0.01,0.20374141326646475,1,2,64,3,3
82,0.03382837787145875,011e8_00082,2,2,0.1,0.4180112836992459,1,1,32,2,2
308,0.033840968440899635,011e8_00308,2,2,0.1,0.3780952561908574,1,4,32,1,3
1772,0.033850508218765396,011e8_01772,3,2,0.01,0.33509084978166637,2,2,8,1,3
605,0.03385426878992896,011e8_00605,2,2,0.01,0.4451977578078574,2,1,16,2,3
1703,0.033883649420511426,011e8_01703,3,2,0.1,0.36551225698193457,2,1,32,2,3
2153,0.033914570111939164,011e8_02153,3,2,0.1,0.5708934498643228,2,8,32,3,3
2097,0.03391735334342093,011e8_02097,3,2,0.01,0.2254382989680746,2,8,128,2,1
2013,0.03392976281103244,011e8_02013,3,2,0.1,0.2538001486896033,2,4,16,3,1
201,0.03393542829867844,011e8_00201,2,2,0.01,0.31150718314562587,1,2,32,2,1
206,0.033944289096191634,011e8_00206,2,2,0.01,0.885571009111238,1,2,64,2,3
315,0.03394732757959833,011e8_00315,2,2,0.001,0.4691784895046077,1,4,8,2,1
517,0.03394754760114967,011e8_00517,2,2,0.01,0.651960824455908,1,8,32,3,2
93,0.03395846231412763,011e8_00093,2,2,0.001,0.5747471429181578,1,1,16,3,1
1848,0.03396212415859559,011e8_01848,3,2,0.001,0.759695819599428,2,2,16,3,1
1869,0.033965439007704795,011e8_01869,3,2,0.01,0.38191429458559456,2,2,64,3,1
140,0.03398959858097011,011e8_00140,2,2,0.001,0.46431060220538545,1,2,16,1,3
284,0.034000831839188124,011e8_00284,2,2,0.001,0.458370688609113,1,4,128,1,3
1769,0.034024474260778155,011e8_01769,3,2,0.001,0.43358417365204294,2,2,128,1,3
